grid_id,segment_count,total_length_m
180,91,30938.71105069748
181,60,19737.89476610754
182,47,12517.979013118933
183,86,25440.614005904466
184,99,30942.065513829533
185,166,42766.470270241836
186,214,67741.85733158355
187,278,76038.98953349693
188,159,49475.55292480789
189,91,27461.569192491992
190,94,17120.472662884
191,55,15886.067761011036
192,25,7466.342694110192
193,8,2624.166921246403
194,10,3104.900598928152
195,14,4817.9131493291725
196,2,713.7122878490088
197,4,1822.768961731576
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,20,5215.942394901242
206,75,15825.538821941378
207,411,123178.94615826425
208,388,135766.9421522923
209,320,121544.00216686349
210,163,59850.77627574074
211,98,31503.657422702883
212,145,59894.57370435508
213,304,92812.56029824277
214,344,110425.46924905032
215,387,148292.8419193863
216,781,222892.48873298214
217,304,99785.7547233995
218,243,57652.88690778242
219,140,42760.12913533504
220,155,47340.08213443772
221,116,31261.959098531905
222,41,16410.614867128053
223,87,23065.76075983703
224,92,26515.597828276586
225,124,33904.31228693696
226,123,35852.72806603958
227,149,47657.20139636889
228,97,30018.355883831195
229,125,36635.791767376635
230,158,47009.79117602548
231,104,31379.872261183027
232,42,10701.207705719233
233,30,9870.800153127751
234,16,5294.901541745881
235,14,2917.5598790187355
236,11,3608.857060994334
237,7,1788.7127977377122
238,1,505.7113416769915
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,40,7375.0411893104465
247,63,21460.475552878175
248,485,86662.64250438068
249,686,213790.87281323137
250,406,110998.52516872522
251,252,77842.77856094504
252,133,53922.09396840275
253,86,30469.148321278983
254,84,29345.597547116966
255,135,55516.16787955024
256,163,51654.93388508414
257,161,59380.91793419692
258,381,107229.48099405487
259,296,111534.18707916875
260,258,76173.6934832509
261,318,79884.32303070142
262,253,98875.53254620306
263,297,85873.81157242811
264,147,44371.894066529974
265,186,55892.9272645008
266,201,65179.208100152595
267,176,59094.52489837596
268,227,72367.36355385068
269,219,73039.61521990682
270,49,15269.408928030638
271,53,11370.017043597443
272,39,8824.978504907041
273,18,5833.770544847096
274,16,4897.237647280751
275,17,6049.018953161985
276,11,4354.540541877818
277,9,1536.5923431013453
278,7,1859.6472991722676
279,4,698.0155256707864
280,1,2.535603676467404
281,1,508.2469453534582
282,2,527.1432455793546
283,2,619.4326864107322
284,1,508.2469453534582
285,5,745.8234105915118
286,1,8.59443340439227
287,0,0.0
288,61,17378.94126947385
289,91,28052.50221856298
290,265,68917.23216982759
291,372,147898.085317722
292,279,97022.11162500881
293,155,52854.18056204396
294,129,47334.13075165109
295,129,41523.570651328
296,129,42145.768781124156
297,145,53231.157327042136
298,132,47688.43023190582
299,121,39289.95878581781
300,172,63180.502063132066
301,291,83284.1263616561
302,340,99632.91364053493
303,394,107236.60272344835
304,265,104566.01213591761
305,244,83735.85876123329
306,187,51683.54973898009
307,309,76014.89084606695
308,223,71027.1213633476
309,164,57285.33841673599
310,411,109999.19184143201
311,189,45044.81889997301
312,23,4296.004541823809
313,8,3066.074137730321
314,4,1847.0396256886524
315,1,523.9525770430805
316,1,155.76695972551283
