grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1181,34962.99661601597,3812020.015138603,593.3170845382717,凤城五路,59.70085490156895,开元路凤城五路口
1182,34962.99661601597,3812520.015138603,771.2999044933661,凤城五路,40.50377697601836,开元路凤城六路口
1183,34962.99661601597,3813020.015138603,587.0678533686745,行政中心,61.24471379755761,开元路凤城八路口
1184,34962.99661601597,3813520.015138603,585.0165395300472,行政中心,145.11694365311874,开元路苑城路口
1185,34962.99661601597,3814020.015138603,669.7170444856226,凤城十路,70.05112991501169,凤城九路开元路口
1186,34962.99661601597,3814520.015138603,427.09108467630574,凤城十路,70.68328695144433,开元路凤城十路口
1187,34962.99661601597,3815020.015138603,645.2074624067899,凤城十路,260.41334183714,河址西
1188,34962.99661601597,3815520.015138603,597.4523592916214,北苑,380.72328925405304,河址西北
1189,34962.99661601597,3816020.015138603,717.1708262431993,北苑,282.2481041345553,长乐东苑D区
1190,34962.99661601597,3816520.015138603,1082.45954492793,北苑,234.01057424835778,长乐东苑D区
1191,34962.99661601597,3817020.015138603,673.1618660637383,文景山公园,145.9044162207633,长乐东苑A区
1192,34962.99661601597,3817520.015138603,173.22330223452678,文景山公园,223.56766752644972,文景山公园地铁站
1193,34962.99661601597,3818020.015138603,326.9032379032885,文景山公园,195.79885099912389,文景山公园
1194,34962.99661601597,3818520.015138603,707.6104908045976,红会医院北区,451.60656235382623,建元二路秦汉大道口
1195,34962.99661601597,3819020.015138603,406.05709509084704,红会医院北区,666.7846109952379,尚稷路东段
1196,34962.99661601597,3819520.015138603,573.6306496784415,红会医院北区,843.8488220749953,尚稷路东段
1197,34962.99661601597,3820020.015138603,996.6051776041526,红会医院北区,1216.3716338252234,尚稷路东段
1198,34962.99661601597,3820520.015138603,1297.3551680879236,草滩,1657.4194003425714,尚稷路东段
1199,35462.99661601597,3796020.015138603,969.6593358603617,金滹沱,1159.656593980776,雁塔南路雁南四路口
1200,35462.99661601597,3796520.015138603,718.8670522100405,大唐不夜城,672.5507271050585,雁塔南路雁南四路口
1201,35462.99661601597,3797020.015138603,326.25742963779476,大唐不夜城,244.63349136206034,雁塔南路雁南四路口
1202,35462.99661601597,3797520.015138603,442.85209950339873,大唐不夜城,346.9360463241393,雁塔南路雁南四路口
1203,35462.99661601597,3798020.015138603,61.22184993424471,唐城墙遗址公园西,250.9446675020645,雁塔南路雁南三路口
1204,35462.99661601597,3798520.015138603,449.81998173058906,大唐芙蓉园,306.96847760924413,雁塔南路雁南一路口
1205,35462.99661601597,3799020.015138603,583.9717921748341,亮宝楼,234.01021431078942,雁塔南路雁南一路口
1206,35462.99661601597,3799520.015138603,273.62087775322726,大雁塔北广场,184.44836858686116,大雁塔南广场
